Entity,Year,Code,Renewables (% equivalent primary energy),increase,world_avg,world_avg_diff,world_avg_change,Hydro (% equivalent primary energy),Wind (% equivalent primary energy),Solar (% equivalent primary energy),Other Renewables (% equivalent primary energy),Hydro (% renewable),Wind (% renewable),Solar (% renewable),Others (% renewable)
Morocco,1965,MAR,20.227098,0.0,6.4545183,13.772579700000001,20.13248,20.227098,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Netherlands,1965,NLD,0.0,0.0,6.4545183,-6.4545183,6.313079369999999,0.0,0.0,0.0,0.0,,,,
New Zealand,1965,NZL,39.252773,0.0,6.4545183,32.7982547,15.883623999999994,34.764313,0.0,0.0,4.488459999999996,88.6,0.0,0.0,11.4
Norway,1965,NOR,67.87996,0.0,6.4545183,61.42544169999999,10.42223700000001,67.87996,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Oman,1965,OMN,0.0,0.0,6.4545183,-6.4545183,7.473425700000001,0.0,0.0,0.0,0.0,,,,
Pakistan,1965,PAK,7.8989325,0.0,6.4545183,1.4444141999999998,16.7265974,7.8989325,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Peru,1965,PER,13.740327,0.0,6.4545183,7.2858087000000005,23.625140899999998,13.740327,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Philippines,1965,PHL,8.365924,0.0,6.4545183,1.9114056999999995,20.1610043,8.365924,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Poland,1965,POL,0.35209692,0.0,6.4545183,-6.10242138,3.4062516,0.34140214,0.0,0.0,0.01069477999999996,97.0,0.0,0.0,3.0
Portugal,1965,PRT,24.9147,0.0,6.4545183,18.4601817,23.510310999999998,23.5886,0.0,0.0,1.3261000000000003,94.7,0.0,0.0,5.3
Qatar,1965,QAT,0.0,0.0,6.4545183,-6.4545183,7.473425700000001,0.0,0.0,0.0,0.0,,,,
Romania,1965,ROU,1.0662186,0.0,6.4545183,-5.3882997,13.522810999999999,1.0662186,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Saudi Arabia,1965,SAU,0.0,0.0,6.4545183,-6.4545183,7.473425700000001,0.0,0.0,0.0,0.0,,,,
Singapore,1965,SGP,0.0,0.0,6.4545183,-6.4545183,7.473425700000001,0.0,0.0,0.0,0.0,,,,
Slovakia,1965,SVK,6.1526546,0.0,6.4545183,-0.3018637000000002,5.1299779999999995,6.1526546,0.0,0.0,0.0,100.0,0.0,0.0,0.0
South Africa,1965,ZAF,0.030886453,0.0,6.4545183,-6.423631847,5.038994999999999,0.030886453,0.0,0.0,0.0,100.0,0.0,0.0,0.0
South Korea,1965,KOR,2.807815,0.0,6.4545183,-3.6467033,6.9886766,2.807815,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Spain,1965,ESP,17.253439,0.0,6.4545183,10.7989207,16.8508568,17.253439,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Sri Lanka,1965,LKA,10.32447,0.0,6.4545183,3.8699516999999997,23.962220000000002,10.32447,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Sweden,1965,SWE,34.933456,0.0,6.4545183,28.4789377,20.089769000000004,34.933456,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Switzerland,1965,CHE,39.05084,0.0,6.4545183,32.596321700000004,17.383587,39.05084,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Taiwan,1965,TWN,10.86843,0.0,6.4545183,4.4139117,16.373403300000003,10.86843,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Thailand,1965,THA,8.098696,0.0,6.4545183,1.6441777000000002,9.7342543,8.098696,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Trinidad and Tobago,1965,TTO,0.0,0.0,6.4545183,-6.4545183,7.616215603000001,0.0,0.0,0.0,0.0,,,,
Turkey,1965,TUR,7.396099,0.0,6.4545183,0.9415807000000003,11.101193799999999,7.0469694,0.0,0.0,0.3491296000000004,95.3,0.0,0.0,4.7
USSR,1965,OWID_USS,3.4813333,0.0,6.4545183,-2.973185,11.387894900000001,3.4813333,0.0,0.0,0.0,100.0,0.0,0.0,0.0
United Arab Emirates,1965,ARE,0.0,0.0,6.4545183,-6.4545183,7.473425700000001,0.0,0.0,0.0,0.0,,,,
United Kingdom,1965,GBR,0.58878726,0.0,6.4545183,-5.86573104,13.7313811,0.58878726,0.0,0.0,0.0,100.0,0.0,0.0,0.0
United States,1965,USA,4.36887,0.0,6.4545183,-2.0856483,2.550483999999999,4.074629,0.0,0.0,0.2942410000000004,93.3,0.0,0.0,6.7
Venezuela,1965,VEN,2.1140678,0.0,6.4545183,-4.3404505,21.347299900000003,2.1140678,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Vietnam,1965,VNM,3.4132664,0.0,6.4545183,-3.0412519000000002,22.283662800000002,3.4132664,0.0,0.0,0.0,100.0,0.0,0.0,0.0
World,1965,OWID_WRL,6.4545183,0.0,6.4545183,0.0,0.0,6.304455,0.0,0.0,0.15006330000000023,97.7,0.0,0.0,2.3
Algeria,1966,DZA,3.518747,-1.2443206999999998,6.5335774,-3.0148304000000006,12.29859025,3.518747,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Argentina,1966,ARG,1.0818976,-0.02082600000000001,6.5335774,-5.451679800000001,14.129202300000003,1.0818976,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Australia,1966,AUS,5.0718946,-0.4907269999999997,6.5335774,-1.4616828000000002,4.359454799999999,4.86867,0.0,0.0,0.20322460000000042,96.0,0.0,0.0,4.0
Austria,1966,AUT,25.840193,0.7437860000000001,6.5335774,19.3066156,13.232966000000001,25.840193,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Belgium,1966,BEL,0.2222244,0.027450649999999993,6.5335774,-6.311353,4.77529137,0.2222244,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Brazil,1966,BRA,27.618214,0.0694929999999978,6.5335774,21.084636599999996,19.846573,27.618214,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Bulgaria,1966,BGR,4.6229763,-0.30839440000000007,6.5335774,-1.9106011,6.0087565,4.6229763,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Canada,1966,CAN,26.194748,1.0560989999999997,6.5335774,19.6611706,8.412174499999995,26.194748,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Chile,1966,CHL,15.744313,-0.26654400000000145,6.5335774,9.2107356,18.0777173,15.744313,0.0,0.0,0.0,100.0,0.0,0.0,0.0
China,1966,CHN,3.9831228,-0.2702842000000003,6.5335774,-2.5504546000000006,5.2051462,3.9831228,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Colombia,1966,COL,12.017394,0.2291849999999993,6.5335774,5.483816599999999,22.133817300000004,12.017394,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Cyprus,1966,CYP,0.0,0.0,6.5335774,-6.5335774,7.473425700000001,0.0,0.0,0.0,0.0,,,,
Czechia,1966,CZE,1.3170925,-0.09069480000000008,6.5335774,-5.2164849,2.7215643,1.3170925,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Denmark,1966,DNK,0.040665347,-0.003811813000000004,6.5335774,-6.492912053,33.035503500000004,0.040665347,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Ecuador,1966,ECU,9.248206,0.742991,6.5335774,2.7146285999999993,24.218186200000005,9.248206,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Egypt,1966,EGY,5.5950437,0.007149300000000025,6.5335774,-0.9385337000000007,18.4334834,5.5950437,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Finland,1966,FIN,23.36688,-0.5997050000000002,6.5335774,16.833302599999996,16.531090499999998,23.36688,0.0,0.0,0.0,100.0,0.0,0.0,0.0
